Day,Time,X,Y,Z
111,14.5666666,-26.8526459,1.56665456,-9.47262
111,14.5683594,-30.8581924,1.56665456,-9.270374
111,14.5700521,-34.7301559,1.56665456,-8.962254
111,14.5716152,-38.56796,1.56665456,-8.829924
111,14.5761719,-40.5157928,1.56665456,-7.73333454
111,14.5778646,-38.47375,1.56665456,-6.94167137
111,14.5795574,-40.53642,1.56665456,-6.301715
111,14.58125,-44.54624,1.56665456,-6.10121
111,14.582943,-48.552124,1.56665456,-5.9009037
111,14.5845051,-51.57,1.56665456,-5.75
111,15.3635416,-51.57,1.56665456,-5.75
111,15.3652344,-49.2372551,1.56665456,-5.91121769
111,15.3669271,-45.2433777,1.56665456,-6.16950274
111,15.36849,-41.3082962,1.56665456,-6.44889641
111,15.370182,-37.99424,1.56665456,-8.512754
111,15.3718748,-34.5350571,1.56665456,-9.623186
111,15.3735676,-30.575943,1.56665456,-9.026285
111,15.37526,-26.6155472,1.56665456,-8.429192
111,15.3769531,-22.67514,1.56665456,-7.889763
111,15.3785152,-20.7781334,1.56665456,-6.511818
111,15.4035158,-22.0199814,1.56665456,-5.13999939
111,15.4052086,-21.865181,1.56665456,-7.45217133
111,15.4069,-23.4811478,1.56665456,-9.898483
111,15.4085941,-27.3724174,1.56665456,-9.716192
111,15.4102859,-31.367651,1.56665456,-9.408375
111,15.411849,-35.3580971,1.56665456,-9.100925
111,15.4135418,-39.1189957,1.56665456,-8.355024
111,15.4152346,-39.83292,1.56665456,-7.73333263
111,15.4169273,-39.2412529,1.56665456,-6.420494
111,15.4186192,-42.614975,1.56665456,-6.03006935
111,15.4203129,-46.6187,1.56665456,-5.90485048
111,15.421875,-50.6243935,1.56665456,-5.779574
111,17.1628914,-51.57,1.56665456,-5.75
111,17.1645832,-49.28065,1.56665456,-5.90850925
111,17.166275,-45.29567,1.56665456,-6.16764164
111,17.1679688,-41.374588,1.56665456,-6.43292236
111,17.1696625,-38.05974,1.56665456,-8.443361
111,17.1712227,-34.5471344,1.56665456,-9.859936
111,17.1729164,-30.589222,1.56665456,-10.1073761
111,17.17461,-26.64724,1.56665456,-10.423
111,17.176302,-23.5718231,1.27693987,-11.4538193
111,17.1779938,-24.8023376,0.04231763,-13.0007515
111,17.1796875,-27.5666142,-2.3791008,-14.1238785
111,17.1829414,-32.88397,-5.946485,-15.45834
111,17.1846352,-33.6660919,-6.814418,-14.0001678
111,17.1863289,-32.5938377,-8.608895,-10.9450569
111,17.187891,-29.80366,-8.902219,-9.523798
111,17.1895828,-25.7917671,-8.915851,-9.509296
111,17.1931,-17.4794044,-8.933346,-9.479237
111,17.1947918,-13.4755821,-8.933346,-9.464756
111,17.1964836,-9.466354,-8.933346,-9.450256
111,17.1980476,-5.45677567,-8.933346,-9.435753
111,17.19974,-1.51973343,-8.933346,-9.504887
111,17.2014313,2.35735321,-8.933345,-9.62352
111,17.203125,5.30806732,-8.933346,-9.437874
112,8.147005,5.816036,-8.933346,-9.395008
112,8.148698,3.52371979,-8.933346,-9.422874
112,8.150391,-0.478111267,-8.933346,-9.471512
112,8.152083,-4.48167038,-8.933346,-9.52018
112,8.15364552,-8.485153,-8.933346,-9.568836
112,8.155338,-12.4974594,-8.933346,-9.617607
112,8.157031,-16.5073166,-8.933346,-9.666317
112,8.158724,-20.517046,-8.933346,-9.739567
112,8.160417,-24.3983269,-8.907782,-9.920734
112,8.162109,-28.2818565,-8.841605,-10.1640739
112,8.16367149,-32.1704826,-8.758955,-10.4881115
112,8.165364,-33.73081,-8.130995,-11.6358871
112,8.167057,-31.52813,-6.268262,-13.3484879
112,8.16875,-28.95369,-3.64817476,-14.44125
112,8.170443,-26.0775375,-0.969668746,-13.4462738
112,8.172006,-24.9295616,1.47426641,-10.9565392
112,8.173697,-26.8496418,1.56665456,-9.169582
112,8.17539,-30.8488464,1.56665456,-9.077528
112,8.177083,-34.8499832,1.56665456,-8.991215
112,8.178776,-38.75123,1.56665456,-8.669298
112,8.180469,-40.0461578,1.56665456,-7.73333549
112,8.182032,-38.991024,1.56665456,-6.64633751
112,8.183724,-41.884037,1.56665456,-6.078864
112,8.185416,-45.89296,1.56665456,-5.9427495
112,8.187109,-49.89234,1.56665456,-5.80696154
112,8.517057,-51.57,1.56665456,-5.75
112,8.51875,-49.28608,1.56665456,-5.90784
112,8.520312,-45.2960548,1.56665456,-6.168025
112,8.522005,-41.35771,1.56665456,-6.44294643
112,8.523698,-38.0242958,1.56665456,-8.486866
112,8.525391,-34.4661636,1.56665456,-9.850363
112,8.527083,-30.5201836,1.56665456,-10.10092
112,8.528776,-26.5744267,1.56665456,-10.4275894
112,8.530338,-23.5603714,1.26599979,-11.4887161
112,8.532031,-24.8734474,0.0077586174,-13.0304928
112,8.533724,-27.624855,-2.41555214,-14.143261
112,8.535417,-30.55475,-5.193377,-13.9627762
112,8.537109,-33.3890762,-7.986617,-11.9142265
112,8.538802,-36.6114578,-8.933346,-9.939711
