day,time,time_new,day_new,week_num,x,y,z,no_movement
158,10.3320313,10:19:55,3,31.0,3.87541175,-0.2594229,0.799361944,True
158,10.8566408,10:51:23,3,31.0,0.7320738,-0.2594229,-3.06201553,
158,10.8583336,10:51:30,3,31.0,-1.18771172,-0.2594229,-4.05450773,
158,10.8600264,10:51:36,3,31.0,-4.58542728,-0.2594229,-5.96376848,
158,10.8618488,10:51:42,3,31.0,-5.868725,-0.2594229,-8.066668,
158,10.8636723,10:51:49,3,31.0,-5.40434456,-0.2594229,-10.6043444,
158,10.8888016,10:53:19,3,31.0,-6.18999958,-0.2594229,-12.07,
158,10.890625,10:53:26,3,31.0,-5.725528,-0.2594229,-9.808282,
158,10.8923178,10:53:32,3,31.0,-4.90570164,-0.2594229,-5.776969,
158,10.89414,10:53:38,3,31.0,-1.73943233,-0.2594229,-3.516192,
158,10.895833,10:53:44,3,31.0,1.98741722,-0.2594229,-2.0025816,
158,10.8976564,10:53:51,3,31.0,5.96935654,-0.2594229,-0.40732944,True
158,10.9734373,10:58:24,3,31.0,5.54,-0.2594229,1.15,
158,10.97513,10:58:30,3,31.0,5.74580526,-0.2594229,0.9405935,
158,10.9768229,10:58:36,3,31.0,7.22659826,-0.2594229,-1.47415793,
158,10.9785156,10:58:42,3,31.0,4.730996,-0.2594229,-2.97625685,
158,10.9803391,10:58:49,3,31.0,0.429961681,-0.2594229,-3.84462881,
158,10.9822922,10:58:56,3,31.0,-3.96338177,-0.2594229,-4.740733,
158,10.9838543,10:59:1,3,31.0,-7.89026356,-0.2594229,-5.217536,
158,10.9855471,10:59:7,3,31.0,-11.6296263,-0.2594229,-3.76471758,
158,10.98724,10:59:14,3,31.0,-15.4052877,-0.2594229,-2.26374435,True
158,11.0770836,11:4:37,3,31.0,-16.2945938,-0.2594229,-2.26576614,
158,11.0787764,11:4:43,3,31.0,-14.4258547,-0.2594229,-2.06270456,
158,11.0804691,11:4:49,3,31.0,-10.726758,-0.2594229,-3.60037184,
158,11.0821609,11:4:55,3,31.0,-6.99912453,-0.2594229,-5.20546341,
158,11.0838547,11:5:1,3,31.0,-3.27728844,-0.2594229,-4.8389287,
158,11.0855465,11:5:7,3,31.0,0.371191978,-0.2594229,-3.08059549,
158,11.0872393,11:5:14,3,31.0,3.99816775,-0.2594229,-1.34676516,
158,11.088932,11:5:20,3,31.0,7.253728,-0.2594229,0.670599163,True
158,12.0009117,12:0:3,3,31.0,5.54,-0.2594229,1.15,
158,12.0026035,12:0:9,3,31.0,6.317357,-0.2594229,0.3735988,
158,12.0042973,12:0:15,3,31.0,6.75266266,-0.2594229,-2.2603507,
158,12.00612,12:0:22,3,31.0,3.046518,-0.2594229,-3.36924028,
158,12.0078125,12:0:28,3,31.0,-0.8599405,-0.2594229,-4.103635,
158,12.0095053,12:0:34,3,31.0,-4.54886341,-0.2594229,-5.947728,
158,12.011198,12:0:40,3,31.0,-6.24183559,-0.2594229,-8.285627,
158,12.0128908,12:0:46,3,31.0,-5.32002354,-0.2594229,-7.641131,
158,12.0145836,12:0:52,3,31.0,-2.21607637,-0.2594229,-8.930381,
158,12.0162754,12:0:58,3,31.0,1.39828014,-1.42350924,-8.754787,
158,12.0179691,12:1:4,3,31.0,4.287243,-3.75942278,-8.947252,
158,12.0197916,12:1:11,3,31.0,7.20373058,-3.76640034,-11.5684824,
158,12.0214844,12:1:17,3,31.0,6.550428,-6.392756,-14.4123125,
158,12.0231771,12:1:23,3,31.0,3.00706959,-6.392756,-16.3614826,
158,12.02487,12:1:29,3,31.0,-0.577864647,-6.391831,-16.98156,
158,12.0265627,12:1:35,3,31.0,-2.21221876,-6.370222,-13.8428421,
158,12.0283852,12:1:42,3,31.0,-1.796484,-6.35942268,-9.74568748,True
158,12.6546879,12:39:16,3,31.0,-0.409999847,-6.35942268,-8.12,
158,12.6635418,12:39:48,3,31.0,-0.409999847,-6.35942268,-8.12,
158,12.6652346,12:39:54,3,31.0,-1.19824409,-6.35942268,-8.556266,
158,12.6669273,12:40:0,3,31.0,-2.43005848,-6.35942268,-11.8028307,
158,12.6686192,12:40:7,3,31.0,-1.57082748,-6.37495327,-15.5503769,
158,12.6703129,12:40:13,3,31.0,1.14335108,-6.392756,-18.0866642,
158,12.6721354,12:40:19,3,31.0,3.066142,-6.392756,-17.2902775,
158,12.6736984,12:40:25,3,31.0,5.35898161,-6.386023,-14.0673761,
158,12.67539,12:40:31,3,31.0,6.725963,-3.98789454,-11.2501326,
158,12.677084,12:40:37,3,31.0,5.96706772,-3.75942278,-9.11274052,
158,12.6789064,12:40:44,3,31.0,2.259917,-2.50846767,-8.697622,
158,12.6805992,12:40:50,3,31.0,-1.67389965,-0.247812271,-8.394525,
158,12.6821613,12:40:55,3,31.0,-5.3867445,-0.2594229,-7.60130548,
158,12.6839848,12:41:2,3,31.0,-5.635373,-0.2594229,-5.11438036,
158,12.6856766,12:41:8,3,31.0,-2.1052494,-0.2594229,-3.55017328,
158,12.7006512,12:42:2,3,31.0,13.8000011,-0.2594229,3.60000038,
158,12.70612,12:42:22,3,31.0,19.6666679,-0.3260895,6.13333368,
158,12.707943,12:42:28,3,31.0,15.6557961,-0.373293042,4.564665,
158,12.7096348,12:42:34,3,31.0,12.0311317,-0.2594229,2.65654135,
158,12.7113285,12:42:40,3,31.0,8.675131,-0.2594229,0.503913939,
158,12.71302,12:42:46,3,31.0,5.495183,-0.2594229,0.717542648,True
158,16.0686188,16:4:7,3,31.0,5.54,-0.2594229,1.15,
158,16.0703125,16:4:13,3,31.0,6.06124735,-0.2594229,0.6270761,
158,16.0721359,16:4:19,3,31.0,7.01520872,-0.2594229,-2.14239264,
158,16.07409,16:4:26,3,31.0,3.05417418,-0.2594229,-3.37795353,
158,16.07578,16:4:32,3,31.0,-0.5693197,-0.2594229,-3.92141962,
158,16.0774727,16:4:38,3,31.0,-2.3960824,-0.2594229,-3.67885637,
158,16.0791664,16:4:44,3,31.0,-5.55415058,-0.2594229,-5.659511,
158,16.08086,16:4:51,3,31.0,-8.827174,-0.2594229,-7.956,
158,16.0826836,16:4:57,3,31.0,-10.4987917,-0.2594229,-11.65502,
158,16.0843754,16:5:3,3,31.0,-9.815953,-0.2594229,-15.2569542,True
158,16.1226559,16:7:21,3,31.0,-9.0,-0.2594229,-15.3800011,
158,16.1278648,16:7:40,3,31.0,-9.0,-0.2594229,-15.3800011,
158,16.1295586,16:7:46,3,31.0,-10.2929611,-0.2594229,-13.4471216,
158,16.13138,16:7:52,3,31.0,-10.6069441,-0.2594229,-9.685972,
158,16.1330719,16:7:59,3,31.0,-7.56524372,-0.2594229,-7.05935335,
158,16.1348953,16:8:5,3,31.0,-3.65241718,-0.2594229,-5.12898,
158,16.1367188,16:8:12,3,31.0,0.294316769,-0.2594229,-3.18192,
158,16.1384125,16:8:18,3,31.0,3.91710663,-0.2594229,-1.40883839,
158,16.1401043,16:8:24,3,31.0,7.16840124,-0.2594229,0.5975083,True
158,17.1578121,17:9:28,3,31.0,5.54,-0.2594229,1.15,
158,17.1669273,17:10:0,3,31.0,5.54,-0.2594229,1.15,
158,17.16875,17:10:7,3,31.0,7.06267929,-0.2594229,-0.502736,
158,17.1704426,17:10:13,3,31.0,6.65563869,-0.2594229,-2.754393,
158,17.1721344,17:10:19,3,31.0,2.84610748,-0.2594229,-3.49329281,
158,17.1738281,17:10:25,3,31.0,-0.763083458,-0.2594229,-4.06295967,
158,17.1755219,17:10:31,3,31.0,-4.33597565,-0.2594229,-5.83450842,
158,17.1772137,17:10:37,3,31.0,-6.333334,-0.2594229,-8.400001,
158,17.1789055,17:10:44,3,31.0,-5.69718647,-0.2594229,-7.793773,
158,17.1806,17:10:50,3,31.0,-4.63511,-0.2594229,-8.221527,
158,17.1824226,17:10:56,3,31.0,-6.15593529,-0.2594229,-11.9908466,True
158,17.2205734,17:13:14,3,31.0,-5.79387951,-0.2594229,-12.0207739,
158,17.2223969,17:13:20,3,31.0,-5.48849773,-0.2594229,-9.64086151,
158,17.2242184,17:13:27,3,31.0,-4.76619244,-0.2594229,-5.461662,
158,17.22591,17:13:33,3,31.0,-1.5775218,-0.2594229,-3.42699385,
158,17.2277336,17:13:39,3,31.0,2.332587,-0.2594229,-1.85115826,
158,17.2292976,17:13:45,3,31.0,5.99411,-0.2594229,-0.411211848,True
158,17.5638,17:33:49,3,31.0,5.54,-0.2594229,1.15,
158,17.5654945,17:33:55,3,31.0,6.073478,-0.2594229,0.615019441,
158,17.5671883,17:34:1,3,31.0,7.038226,-0.2594229,-1.97664034,
158,17.5690117,17:34:8,3,31.0,3.57797933,-0.2594229,-3.25825167,
158,17.5708332,17:34:14,3,31.0,-0.479611874,-0.2594229,-3.998087,
